ID;QUERY;CAT;DIFFICULTY;INT-ID;REL;EQV;COMMENT;;;;;;;;
ysqle-trec-2011-65-3;australia wine;CatQ, SolEnQ;5;2;2;;;https://en.wikipedia.org/wiki/Australia,_Mississippi;wine;;;;;;
ysqle-trec-2011-65-1;australian female winemakers;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Australia;female winemaker;;;;;;
ysqle-trec-2011-65-1;australian female winemakers;CatQ, SolEnQ;5;1;2;;;https://en.wikipedia.org/wiki/Australia,_Cuba;female winemaker;;;;;;
ysqle-trec-2011-65-1;australian female winemakers;CatQ;5;2;2;;;https://en.wikipedia.org/wiki/Australia,_Mississippi;female winemaker;;;;;;
esdbpediav2-TREC_Entity-14;authors awarded an anthony award at bouchercon in 2007;CatQ, SolEnQ;3;0;3;;;authors;awarded an;https://en.wikipedia.org/wiki/Anthony_Awards;at;https://en.wikipedia.org/wiki/Bouchercon;in;2007;
ysqle-yahoo-465-1;autozone locations;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/AutoZone;locations;;;;;;
esdbpediav2-SemSearch_LS-4;axis powers of world war ii;CatQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Axis_powers;of;https://en.wikipedia.org/wiki/World_War_II;;;;;
ysqle-trec-2010-67-1;b57;LQ;2;0;3;;;https://en.wikipedia.org/wiki/B57_nuclear_bomb;;;;;;;
ysqle-trec-2010-67-1;b57;LQ;2;1;3;;;https://en.wikipedia.org/wiki/Martin_B-57_Canberra;;;;;;;
ysqle-trec-2010-67-1;b57;LQ;2;2;3;;;https://en.wikipedia.org/wiki/Volvo_B57;;;;;;;
ysqle-yahoo-521-3;baby boy names;CatQ, SolEnQ;5;0;3;;male names to give to an infant;baby;boy names;;;;;;
ysqle-yahoo-521-3;baby boy names;CatQ, SolEnQ;5;1;2;;names of the cast or characters of the movie called baby boy;https://en.wikipedia.org/wiki/Baby_Boy_(film);names;;;;;;
ysqle-yahoo-467-1;backdoor games;CatQ, SolEnQ;5;0;3;;;backdoor games;;;;;;;
esdbpediav2-INEX_LD-2012315;baguio quezon city manila official independence 1945;ConQ;2;0;3;;;https://en.wikipedia.org/wiki/Baguio;https://en.wikipedia.org/wiki/Quezon_City;https://en.wikipedia.org/wiki/Manila;official independence;1945;;;
ysqle-trec-2013-47-0;banned drinks;CatQ, SolEnQ;5;0;3;;;banned drinks;;;;;;;
ysqle-trec-2013-47-1;banned food;CatQ, SolEnQ;5;0;3;;;banned food;;;;;;;
esdbpediav2-INEX_LD-2012390;baseball player most homeruns national league;ConQ, SolEnQ;3;0;3;;;baseball player;most homeruns;https://en.wikipedia.org/wiki/Major_League_Baseball;;;;;
erd14-TREC-3;battles in the civil war;CatQ, SolEnQ;5;0;3;;;battles;in the;civil war;;;;;
ysqle-yahoo-523-25;bbc sherlock episodes;CatQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/BBC;https://en.wikipedia.org/wiki/Sherlock_(TV_series);episodes;;;;;
ysqle-yahoo-510-13;beach chair;ConQ;1;0;3;;;beach chair;;;;;;;
esdbpediav2-INEX_LD-2012327;beloved author african-american nobel prize literature;ConQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/Beloved_(novel);author;https://en.wikipedia.org/wiki/African_Americans;https://en.wikipedia.org/wiki/Nobel_Prize_in_Literature;;;;
ysqle-yahoo-436-4;best buy laptops;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Best_Buy;laptops;;;;;;
ysqle-yahoo-436-4;best buy laptops;CatQ, SolEnQ;5;1;2;;;best;buy laptops;;;;;;
ysqle-yahoo-426-1;best cameras for concerts;CatQ, SolEnQ;5;0;3;;;best;cameras;for;concerts;;;;
ysqle-yahoo-426-2;best cameras for photography;CatQ, SolEnQ;5;0;3;;;best;cameras;for;photography;;;;
ysqle-trec-2010-29-0;best elliptical trainers for home use;CatQ, SolEnQ;5;0;3;;;best;elliptical trainers;for ;home use;;;;
ysqle-yahoo-518-3;best flea bomb;CatQ, SolEnQ;5;0;3;;;best;flea bomb;;;;;;
ysqle-yahoo-458-0;best online shopping sites;CatQ, SolEnQ;5;0;3;;;best;online shopping sites;;;;;;
ysqle-yahoo-51-0;best penpal sites;CatQ, SolEnQ;5;0;3;;;best;penpal sites;;;;;;
ysqle-trec-2012-3-1;best programming language for beginners;CatQ, SolEnQ;5;0;3;;;best;programming language;for;beginners;;;;
ysqle-trec-2013-62-1;best road trips;ConQ;1;0;3;;;best;road trips;;;;;;
ysqle-yahoo-523-11;best snl hosts;CatQ, SolEnQ;5;0;3;;;best;https://en.wikipedia.org/wiki/Saturday_Night_Live;hosts;;;;;
ysqle-trec-2013-87-0;best us destinations;CatQ, SolEnQ;5;0;3;;;best;https://en.wikipedia.org/wiki/United_States_of_America;destinations;;;;;
ysqle-trec-2013-62-2;best worst road trips;ConQ;1;0;3;;;best;worst;road trips;;;;;
esdbpediav2-INEX_LD-20120421;bicycle holiday towns;CatQ, SolEnQ;5;0;3;;;bicycle;holiday towns;;;;;;
esdbpediav2-INEX_LD-20120411;bicycle sport races;CatQ, SolEnQ;5;0;3;;;bicycle sport races;;;;;;;
esdbpediav2-INEX_LD-2012373;birds cannot fly;ConQ;1;0;3;;;birds;cannot;fly;;;;;
ysqle-yahoo-261-0;black dog machine magazines;CatQ, SolEnQ;5;0;3;;;http://blackdogmachinellc.net/;magazines;;;;;;
esdbpediav2-INEX_LD-2012359;bob ricker executive director the latest front group for the anti-gun movement;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Bob_Ricker;executive director;the latest front group;for;the anti-gun movement;;;
ysqle-trec-2010-55-0;bobcat tractor;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Bobcat_Company;tractor;;;;;;
ysqle-trec-2010-55-1;bobcat tractor attachment;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Bobcat_Company;tractor attachment;;;;;;
ysqle-trec-2012-30-1;bollywood oscars;ConQ, LQ;2;0;3;;;https://en.wikipedia.org/wiki/International_Indian_Film_Academy_Awards;;;;;;;
ysqle-trec-2012-30-1;bollywood oscars;ConQ, LQ;2;1;2;;;https://en.wikipedia.org/wiki/Bollywood;https://en.wikipedia.org/wiki/Academy_Awards;;;;;;
ysqle-trec-2012-30-1;bollywood oscars;ConQ, LQ;2;2;1;;Actors or characters with the name “oscar” in bollywood movies;https://en.wikipedia.org/wiki/Bollywood;oscars;;;;;;
ysqle-trec-2012-29-1;bollywood stars;CatQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Bollywood;stars;;;;;;
esdbpediav2-INEX_XER-128;bond girls;CatQ, LQ, SolEnQ;5;0;3;1;;https://en.wikipedia.org/wiki/James_Bond;girls;;;;;;
esdbpediav2-INEX_XER-128;bond girls;CatQ, LQ, SolEnQ;5;1;3;0;;https://en.wikipedia.org/wiki/Bond_girl;;;;;;;
esdbpediav2-SemSearch_LS-6;boroughs of new york city;CatQ, SolEnQ;2;0;3;;;boroughs;of;https://en.wikipedia.org/wiki/New_York_City;;;;;
ysqle-yahoo-116-0;bow ties;ConQ;1;0;3;;;bow ties;;;;;;;
esdbpediav2-SemSearch_LS-7;branches of the us military;CatQ, SolEnQ;3;0;3;1;;branches;of the;https://en.wikipedia.org/wiki/United_States_Armed_Forces;;;;;
esdbpediav2-SemSearch_LS-7;branches of the us military;CatQ, SolEnQ;3;1;3;0;;branches;of the;https://en.wikipedia.org/wiki/United_States;military;;;;
esdbpediav2-TREC_Entity-10;campuses of indiana university;CatQ, SolEnQ;3;0;3;0;;campuses;of;https://en.wikipedia.org/wiki/Indiana_University;;;;;
esdbpediav2-TREC_Entity-10;campuses of indiana university;CatQ, SolEnQ;3;1;3;1;;campuses;of;https://en.wikipedia.org/wiki/Indiana;university;;;;
ysqle-yahoo-101-1;cargo pants;ConQ;1;0;3;;;cargo pants;;;;;;;
esdbpediav2-TREC_Entity-1;carriers that blackberry makes phones for;CatQ, SolEnQ;5;0;3;;;carriers;that;https://en.wikipedia.org/wiki/BlackBerry;makes;phones;for;;
ysqle-yahoo-17-0;cast of starship troopers 2;CatQ, SolEnQ;3;0;3;;;cast;of;https://en.wikipedia.org/wiki/Starship_Troopers_2:_Hero_of_the_Federation;;;;;
ysqle-yahoo-366-0;cate blanchett role;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Cate_Blanchett;role;;;;;;
ysqle-trec-2010-130-0;cell phones;CatQ, SolEnQ;5;0;3;;;cell phones;;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;0;3;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;1;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_C%C3%B3rdoba;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;2;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/Mostazal;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;3;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Antioquia;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;4;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Cundinamarca;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;5;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Putumayo;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;6;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Atl%C3%A1ntida;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;7;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Lempira;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;8;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_El_Pet%C3%A9n;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;9;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Panam%C3%A1;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;10;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Veraguas;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;11;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Agusan_del_Sur;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;12;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Cebu;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;13;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Quezon;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;14;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Southern_Leyte;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;15;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Surigao_del_Norte;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;16;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_San_Pablo;;;;;;
ysqle-yahoo-496-2;century theaters san francisco;ConQ;2;17;1;;;https://en.wikipedia.org/wiki/Century_Theatres;https://en.wikipedia.org/wiki/San_Francisco,_Bohol;;;;;;
ysqle-trec-2011-56-4;chanel top fragrance;ConQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Chanel;top fragrance;;;;;;
ysqle-trec-2011-56-5;chanel top fragrance in the world;ConQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Chanel;top fragrance;in the;world;;;;
ysqle-trec-2010-21-1;cheap dsl providers;CatQ, SolEnQ;5;0;3;;;cheap;dsl providers;;;;;;
ysqle-yahoo-114-0;cheap lights dj;CatQ, SolEnQ;5;0;3;;;cheap;lights;dj;;;;;
ysqle-yahoo-114-1;cheap lights dj equipment;CatQ, SolEnQ;5;0;3;;;cheap;lights;dj equipment;;;;;
esdbpediav2-TREC_Entity-17;chefs with a show on the food network;CatQ, SolEnQ;5;0;3;;;chefs;with a ;show;on the;https://en.wikipedia.org/wiki/Food_Network;;;
esdbpediav2-INEX_XER-147;chemical elements that are named after people;ConQ;1;0;3;;;chemical elements;that are;named;after;people;;;
esdbpediav2-INEX_XER-144;chess world champions;CatQ, SolEnQ;5;0;3;;;chess world champions;;;;;;;
ysqle-yahoo-93-17;china aircraft carrier;ConQ, LQ, SolEnQ;3;0;3;;;https://en.wikipedia.org/wiki/China;aircraft carrier;;;;;;
ysqle-yahoo-93-17;china aircraft carrier;ConQ, LQ, SolEnQ;3;1;3;;;https://en.wikipedia.org/wiki/Chinese_aircraft_carrier_programme;;;;;;;
ysqle-yahoo-353-0;cinque terre accommodation;ConQ, SolEnQ;5;0;3;;;https://en.wikipedia.org/wiki/Cinque_Terre;accommodation;;;;;;
esdbpediav2-INEX_XER-74;circus mammals;ConQ;1;0;3;;;circus;mammals;;;;;;
esdbpediav2-INEX_XER-74;circus mammals;ConQ;1;1;1;;;https://en.wikipedia.org/wiki/Circus_(1936_film);mammals;;;;;;
esdbpediav2-INEX_XER-74;circus mammals;ConQ;1;2;1;;;https://en.wikipedia.org/wiki/Circus_(2000_film);mammals;;;;;;
esdbpediav2-INEX_XER-74;circus mammals;ConQ;1;3;1;;;https://en.wikipedia.org/wiki/Circus_(2009_film);mammals;;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;0;3;;;city of;https://en.wikipedia.org/wiki/Los_Angeles;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;1;2;;;city of;https://en.wikipedia.org/wiki/Los_%C3%81ngeles,_Catamarca;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;2;2;;;city of;https://en.wikipedia.org/wiki/Los_%C3%81ngeles,_Chile;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;3;2;;;city of;https://en.wikipedia.org/wiki/Los_%C3%81ngeles,_South_Caribbean_Coast_Autonomous_Region;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;4;2;;;city of;https://en.wikipedia.org/wiki/Los_Angeles,_Bohol;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;5;2;;;city of;https://en.wikipedia.org/wiki/Los_%C3%81ngeles,_Chiriqu%C3%AD;jobs;;;;;
ysqle-yahoo-251-7;city of los angeles jobs;ConQ;2;6;2;;;city of;https://en.wikipedia.org/wiki/Los_%C3%81ngeles,_Los_Santos;jobs;;;;;
erd14-TREC-12;civil right movement;ConQ, LQ;1;0;3;;;https://en.wikipedia.org/wiki/Civil_rights_movement;;;;;;;
erd14-TREC-12;civil right movement;ConQ, LQ;1;1;3;;;https://en.wikipedia.org/wiki/Northern_Ireland_civil_rights_movement;;;;;;;
erd14-TREC-12;civil right movement;ConQ, LQ;1;2;3;;;civil right movement;;;;;;;
ysqle-trec-2011-68-3;co stars of jack nicholson;CatQ, SolEnQ;5;0;3;;;co stars;of;https://en.wikipedia.org/wiki/Jack_Nicholson;;;;;
ysqle-trec-2011-68-3;co stars of jack nicholson;CatQ, SolEnQ;5;1;2;;;co stars;of;https://en.wikipedia.org/wiki/Jack_Nicholson_(footballer);;;;;
ysqle-yahoo-229-2;combat boots for women;CatQ, SolEnQ;5;0;3;;;combat boots;for;women;;;;;
esdbpediav2-TREC_Entity-19;companies that john hennessey serves on the board;CatQ, SolEnQ;5;0;3;;;companies;that;https://en.wikipedia.org/wiki/John_W._Hennessey_Jr;serves;on the;board;;
esdbpediav2-TREC_Entity-19;companies that john hennessey serves on the board;CatQ, SolEnQ;5;1;3;;;companies;that;https://en.wikipedia.org/wiki/John_J._Hennessey;serves;on the;board;;
esdbpediav2-TREC_Entity-19;companies that john hennessey serves on the board;CatQ, SolEnQ;5;2;3;;;companies;that;https://en.wikipedia.org/wiki/John_L._Hennessy;serves;on the;board;;
esdbpediav2-TREC_Entity-19;companies that john hennessey serves on the board;CatQ, SolEnQ;5;3;3;;;companies;that;https://en.wikipedia.org/wiki/John_M._Hennessy;serves;on the;board;;
ysqle-trec-2013-95-0;comparison hotels new york city;CatQ;5;0;3;;;comparison;hotels;https://en.wikipedia.org/wiki/New_York_City;;;;;
esdbpediav2-INEX_XER-97;compilers that can compile both c and c++;CatQ, SolEnQ;5;0;3;;;compilers;that can;compile;both;https://en.wikipedia.org/wiki/C_(programming_language);and;https://en.wikipedia.org/wiki/C%2B%2B;
esdbpediav2-INEX_LD-2010014;composer museum;ConQ, SolEnQ;5;0;3;;;composer museum;;;;;;;
ysqle-yahoo-113-4;computer;ConQ, SolEnQ;5;0;3;;;computer;;;;;;;
esdbpediav2-INEX_XER-99;computer systems that have a recursive acronym for the name;CatQ, SolEnQ;5;0;3;;;computer systems;that have a;recursive acronym;for the ;name;;;
ysqle-trec-2010-35-0;computer worms;CatQ, SolEnQ;5;0;3;;;computer worms;;;;;;;
ysqle-yahoo-493-17;concerts in charlotte nc;CatQ, SolEnQ;5;0;3;;;concerts;in;https://en.wikipedia.org/wiki/Charlotte,_North_Carolina;;;;;
esdbpediav2-SemSearch_LS-8;continents in the world;CatQ, SolEnQ;2;0;3;;;continents;in the;world;;;;;
esdbpediav2-INEX_XER-125;countries which have won the fifa world cup;CatQ, SolEnQ;3;0;3;1;;countries;which have won;the;https://en.wikipedia.org/wiki/FIFA_World_Cup;;;;
esdbpediav2-INEX_XER-125;countries which have won the fifa world cup;CatQ, SolEnQ;3;1;3;0;;countries;which have won;the;https://en.wikipedia.org/wiki/FIFA;world cup;;;
esdbpediav2-INEX_LD-2012353;country german language;ConQ, SolEnQ;3;0;3;;;country;https://en.wikipedia.org/wiki/German_language;;;;;;
esdbpediav2-INEX_LD-2012317;daggeroso inclined to use a dagger novel sons and lovers;ConQ;1;0;3;;;daggeroso;inclined;to use a dagger;novel;https://en.wikipedia.org/wiki/Sons_and_lovers;;;
ysqle-trec-2010-117-1;deadliest tornadoes;CatQ, SolEnQ;5;0;3;;;deadliest tornadoes;;;;;;;
ysqle-trec-2010-8-0;defender game;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Defender_(1981_video_game);game;;;;;;
ysqle-trec-2010-8-0;defender game;ConQ;1;1;3;;;https://en.wikipedia.org/wiki/Defender_(2002_video_game);game;;;;;;
ysqle-trec-2010-8-1;defender game online;ConQ;1;0;3;;;https://en.wikipedia.org/wiki/Defender_(1981_video_game);game;online;;;;;
ysqle-trec-2010-8-1;defender game online;ConQ;1;1;3;;;https://en.wikipedia.org/wiki/Defender_(2002_video_game);game;online;;;;;
esdbpediav2-SemSearch_LS-9;degrees of eastern orthodox monasticism;ConQ;1;0;3;;;degrees;of;https://en.wikipedia.org/wiki/Eastern_Christian_monasticism;;;;;
ysqle-trec-2012-77-0;dehumidifier any good;ConQ;1;0;3;;;dehumidifier;any good;;;;;;
