"ID";"QUERY";"CAT";"DIFFICULTY"
"erd14-TREC-50";"map of the united states";"ConQ";2
"erd14-TREC-51";"martha stewart and imclone";"ConQ";2
"erd14-TREC-52";"mayo clinic jacksonville fl";"LQ";1
"erd14-TREC-53";"milwaukee journal sentinel";"LQ";1
"erd14-TREC-54";"mothers day songs";"ConQ";10
"erd14-TREC-55";"obama family tree";"ConQ";2
"erd14-TREC-56";"orange county convention center";"LQ";2
"erd14-TREC-57";"pacific northwest laboratory";"LQ";2
"erd14-TREC-58";"poem in your pocket day";"LQ";2
"erd14-TREC-59";"president of the united states";"RQ";10
"erd14-TREC-6";"blue throated hummingbird";"LQ";1
"erd14-TREC-60";"ps 2 games";"CatQ";3
"erd14-TREC-61";"ralph owen brewster";"LQ";2
"erd14-TREC-62";"rincon puerto rico";"LQ";2
"erd14-TREC-63";"ritz carlton lake las vegas";"LQ";2
"erd14-TREC-64";"rock and gem shows";"LQ";1
"erd14-TREC-65";"rocky mountain news";"LQ";2
"erd14-TREC-66";"septic system design";"ConQ";2
"erd14-TREC-67";"signs of a heartattack";"CatQ";10
"erd14-TREC-68";"sit and reach test";"LQ";1
"erd14-TREC-69";"sonoma county medical services";"ConQ";2
"erd14-TREC-7";"bowflex power pro";"LQ";2
"erd14-TREC-70";"source of the nile";"ConQ, LQ";2
"erd14-TREC-71";"tangible personal property tax";"ConQ";2
"erd14-TREC-72";"texas border patrol";"ConQ";2
"erd14-TREC-73";"the beatles rock band";"LQ";2
"erd14-TREC-74";"the music man";"LQ";2
"erd14-TREC-75";"the secret garden";"LQ";2
"erd14-TREC-76";"tn highway patrol";"LQ";2
"erd14-TREC-77";"to be or not to be that is the question";"LQ";1
"erd14-TREC-78";"trombone for sale";"ConQ";1
"erd14-TREC-79";"tv on computer";"ConQ";1
"erd14-TREC-8";"brooks brothers clearance";"ConQ";2
"erd14-TREC-80";"universal animal cuts reviews";"ConQ";1
"erd14-TREC-81";"university of phoenix";"LQ";2
"erd14-TREC-82";"uplift at yellowstone national park";"ConQ";2
"erd14-TREC-83";"us capitol map";"ConQ";2
"erd14-TREC-84";"used car parts";"ConQ";2
"erd14-TREC-85";"uss yorktown charleston sc";"LQ";2
"erd14-TREC-86";"va dmv registration";"ConQ";2
"erd14-TREC-87";"vines for shade";"ConQ";2
"erd14-TREC-88";"von willebrand disease";"LQ";1
"erd14-TREC-89";"website design hosting";"ConQ, LQ";2
"erd14-TREC-9";"butter and margarine";"ConQ";1
"erd14-TREC-90";"wedding budget calculator";"ConQ";2
"erd14-TREC-91";"who invented music";"ConQ, QQ";4
"esdbpediav2-INEX_LD-2009022";"Szechwan dish food cuisine";"ConQ";2
"esdbpediav2-INEX_LD-2009039";"roman architecture";"ConQ";2
"esdbpediav2-INEX_LD-2009053";"finland car industry manufacturer saab sisu";"ConQ, LQ";4
"esdbpediav2-INEX_LD-2009061";"france second world war normandy";"ConQ";2
"esdbpediav2-INEX_LD-2009062";"social network group selection";"ConQ";1
"esdbpediav2-INEX_LD-2009063";"D-Day normandy invasion";"ConQ";1
"esdbpediav2-INEX_LD-2009074";"web ranking scoring algorithm";"ConQ";10
"esdbpediav2-INEX_LD-2009096";"Eiffel";"LQ";2
"esdbpediav2-INEX_LD-2009111";"europe solar power facility";"ConQ";100
"esdbpediav2-INEX_LD-2009115";"virtual museums";"CatQ";100
"esdbpediav2-INEX_LD-2010004";"Indian food";"ConQ";2
"esdbpediav2-INEX_LD-2010014";"composer museum";"CatQ";100
"esdbpediav2-INEX_LD-2010019";"gallo roman architecture in paris";"ConQ";2
"esdbpediav2-INEX_LD-2010020";"electricity source in France";"ConQ";2
"esdbpediav2-INEX_LD-2010037";"social network API";"ConQ";2
"esdbpediav2-INEX_LD-2010043";"List of films from the surrealist category";"CatQ";100
"esdbpediav2-INEX_LD-2010057";"Einstein Relativity theory";"LQ";1
"esdbpediav2-INEX_LD-2010069";"summer flowers";"CatQ";100
"esdbpediav2-INEX_LD-2010100";"house concrete wood";"ConQ";2
"esdbpediav2-INEX_LD-2010106";"organic food advantages disadvantages";"ConQ";2
"esdbpediav2-INEX_LD-20120111";"vietnam war movie";"CatQ";100
"esdbpediav2-INEX_LD-20120112";"vietnam war facts";"CatQ";1
"esdbpediav2-INEX_LD-20120121";"vietnam food recipes";"CatQ";1
"esdbpediav2-INEX_LD-20120122";"vietnamese food blog";"ConQ";1
"esdbpediav2-INEX_LD-20120131";"vietnam travel national park";"ConQ";10
"esdbpediav2-INEX_LD-20120132";"vietnam travel airports";"ConQ";10
"esdbpediav2-INEX_LD-20120211";"guitar chord tuning";"ConQ";10
"esdbpediav2-INEX_LD-20120212";"guitar chord minor";"ConQ";10
"esdbpediav2-INEX_LD-20120221";"guitar classical flamenco";"ConQ";2
"esdbpediav2-INEX_LD-20120222";"guitar classical bach";"ConQ";2
"esdbpediav2-INEX_LD-20120231";"guitar origin Russia";"ConQ";4
"esdbpediav2-INEX_LD-20120232";"guitar origin blues";"ConQ";2
"esdbpediav2-INEX_LD-20120311";"tango culture movies";"CatQ";10
"esdbpediav2-INEX_LD-20120312";"tango culture countries";"CatQ";4
"esdbpediav2-INEX_LD-20120321";"tango music  composers";"CatQ";100
"esdbpediav2-INEX_LD-20120322";"tango music instruments";"CatQ";1
"esdbpediav2-INEX_LD-20120331";"tango dance styles";"CatQ";10
"esdbpediav2-INEX_LD-20120332";"tango dance history";"ConQ";1
"esdbpediav2-INEX_LD-20120411";"bicycle sport races";"CatQ";10
"esdbpediav2-INEX_LD-20120412";"bicycle sport disciplines";"CatQ";2
"esdbpediav2-INEX_LD-20120421";"bicycle holiday towns";"CatQ";100
"esdbpediav2-INEX_LD-20120422";"bicycle holiday nature";"ConQ";1
"esdbpediav2-INEX_LD-20120431";"bicycle benefits health";"ConQ";1
"esdbpediav2-INEX_LD-20120432";"bicycle benefits environment";"ConQ";1
"esdbpediav2-INEX_LD-20120511";"female rock singers";"CatQ";100
"esdbpediav2-INEX_LD-20120512";"south korean girl groups";"CatQ";100
"esdbpediav2-INEX_LD-20120521";"electronic music genres";"CatQ";100
"esdbpediav2-INEX_LD-20120522";"digital music notation formats";"CatQ";10
"esdbpediav2-INEX_LD-20120531";"music conferences";"CatQ";100
"esdbpediav2-INEX_LD-20120532";"intellectual property rights lobby";"ConQ";2
"esdbpediav2-INEX_LD-2012301";"Niagara falls origin lake";"ConQ";2
"esdbpediav2-INEX_LD-2012303";"Valley fever fungal infection San Joaquin";"ConQ";2
"esdbpediav2-INEX_LD-2012305";"North Dakota's lowest river of another colour";"ConQ";4
"esdbpediav2-INEX_LD-2012307";"July, 1850  president died Millard Fillmore sworn following day";"ConQ";2
"esdbpediav2-INEX_LD-2012309";"residents small island city-state  Malay Peninsula Chinese";"ConQ";4
"esdbpediav2-INEX_LD-2012311";"John Lennon Yoko Ono album Starting Over";"LQ";1
"esdbpediav2-INEX_LD-2012313";"John Turturro 1991 Coen Brothers film";"ConQ";3
"esdbpediav2-INEX_LD-2012315";"Baguio Quezon City  Manila official independence 1945";"ConQ";3
"esdbpediav2-INEX_LD-2012317";"daggeroso inclined to use a dagger novel Sons and Lovers";"ConQ";4
"esdbpediav2-INEX_LD-2012318";"Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space";"ConQ";4
"esdbpediav2-INEX_LD-2012319";"1994 short story collection Alice Munro is Open";"ConQ";4
"esdbpediav2-INEX_LD-2012321";"Asian port state-city Sir Stamford Raffles";"ConQ";3
"esdbpediav2-INEX_LD-2012323";"Large glaciers island nation Langjokull Hofsjokull Vatnajokull";"ConQ";3
"esdbpediav2-INEX_LD-2012325";"successor James G. Blaine studied law";"ConQ";3
"esdbpediav2-INEX_LD-2012327";"Beloved author African-American Nobel Prize Literature";"ConQ";3
"esdbpediav2-INEX_LD-2012329";"Sweden Iceland currency";"ConQ";4
"esdbpediav2-INEX_LD-2012331";"Seoul Korea river name ethnic group China";"ConQ";4
"esdbpediav2-INEX_LD-2012333";"Prime minister Canada nicknamed Silver-Tongued Laurier longest unbroken term";"ConQ";4
"esdbpediav2-INEX_LD-2012335";"U.S. president authorise nuclear weapons against Japan";"CatQ";10
"esdbpediav2-INEX_LD-2012336";"1906 territory Papua island Australian";"ConQ";4
"esdbpediav2-INEX_LD-2012337";"Texas city Baylor University tornado 1953";"ConQ";3
"esdbpediav2-INEX_LD-2012339";"Nelson Mandela John Dube";"ConQ";1
"esdbpediav2-INEX_LD-2012341";"1997  Houston airport president";"ConQ";3
"esdbpediav2-INEX_LD-2012343";"The Heart of a Woman poet's autobiography";"ConQ";2
"esdbpediav2-INEX_LD-2012345";"Kennedy assassination governor of Texas seriously injured";"ConQ";4
"esdbpediav2-INEX_LD-2012347";"seat Florida country Dade";"ConQ";4
"esdbpediav2-INEX_LD-2012349";"Alexander Nevsky Cathedral Bulgarian city liberation Turks";"ConQ";4
"esdbpediav2-INEX_LD-2012351";"Indian Cuisine dish rice dhal vegetables roti papad";"ConQ";4
"esdbpediav2-INEX_LD-2012353";"country German language";"CatQ";3
"esdbpediav2-INEX_LD-2012354";"greatest guitarist";"ConQ";4
"esdbpediav2-INEX_LD-2012355";"England football player highest paid";"ConQ";3
"esdbpediav2-INEX_LD-2012357";"prima ballerina Bolshoi Theatre 1960";"CatQ";100
"esdbpediav2-INEX_LD-2012359";"Bob Ricker Executive Director the latest front group for the anti-gun movement";"ConQ";4
"esdbpediav2-INEX_LD-2012361";"most famous award winning actor singer";"ConQ";4
"esdbpediav2-INEX_LD-2012363";"American twins famous  American professional tennis double players";"ConQ";3
"esdbpediav2-INEX_LD-2012365";"mathematician computer scientist MIT's six inaugural MacVicar Faculty Fellows";"ConQ";3
"esdbpediav2-INEX_LD-2012367";"invented telescope";"ConQ";3
"esdbpediav2-INEX_LD-2012369";"most famous civic-military airports";"ConQ";4
"esdbpediav2-INEX_LD-2012371";"most beautiful railway stations world cities located";"CatQ";4
"esdbpediav2-INEX_LD-2012372";"famous historical battlefields opponents fought";"CatQ";4
"esdbpediav2-INEX_LD-2012373";"birds cannot fly";"CatQ";10
"esdbpediav2-INEX_LD-2012375";"animals lay eggs mammals";"CatQ";10
"esdbpediav2-INEX_LD-2012377";"allegedly caused World War I";"ConQ";3
"esdbpediav2-INEX_LD-2012381";"movie directors directed a block buster";"CatQ";100
"esdbpediav2-INEX_LD-2012383";"famous computer scientists disappeared at sea";"CatQ";10
"esdbpediav2-INEX_LD-2012385";"famous politicians vegetarians";"CatQ";100
"esdbpediav2-INEX_LD-2012387";"famous river confluence dam constructed";"ConQ";3
"esdbpediav2-INEX_LD-2012389";"frequently visited sharks gulf Indian Ocean";"ConQ";4
"esdbpediav2-INEX_LD-2012390";"baseball player most homeruns national league";"ConQ";3
"esdbpediav2-INEX_XER-100";"Operating systems to which Steve Jobs related";"CatQ";3
"esdbpediav2-INEX_XER-106";"Noble english person from the Hundred Years' War";"CatQ";100
"esdbpediav2-INEX_XER-108";"State capitals of the United States of America";"CatQ";100
"esdbpediav2-INEX_XER-109";"National capitals situated on islands";"CatQ";10
"esdbpediav2-INEX_XER-110";"Nobel Prize in Literature winners who were also poets";"CatQ";10
"esdbpediav2-INEX_XER-113";"Formula 1 drivers that won the Monaco Grand Prix";"CatQ";100
"esdbpediav2-INEX_XER-114";"Formula one races in Europe";"CatQ";100
"esdbpediav2-INEX_XER-115";"Formula One World Constructors' Champions";"CatQ";10
"esdbpediav2-INEX_XER-116";"Italian nobel prize winners";"CatQ";10
"esdbpediav2-INEX_XER-117";"Musicians who appeared in the Blues Brothers movies";"CatQ";10
"esdbpediav2-INEX_XER-118";"French car models in 1960's";"CatQ";100
"esdbpediav2-INEX_XER-119";"Swiss cantons where they speak German";"CatQ";10
"esdbpediav2-INEX_XER-121";"US presidents since 1960";"CatQ";10
"esdbpediav2-INEX_XER-122";"Movies with eight or more Academy Awards";"CatQ";10
"esdbpediav2-INEX_XER-123";"FIFA world cup national team winners since 1974";"CatQ";10
"esdbpediav2-INEX_XER-124";"Novels that won the Booker Prize";"CatQ";10
"esdbpediav2-INEX_XER-125";"countries which have won the FIFA world cup";"CatQ";10
"esdbpediav2-INEX_XER-126";"toy train manufacturers that are still in business";"CatQ";10
"esdbpediav2-INEX_XER-127";"german female politicians";"CatQ";100
"esdbpediav2-INEX_XER-128";"Bond girls";"CatQ";10
"esdbpediav2-INEX_XER-129";"Science fiction book written in the 1980";"CatQ";10
"esdbpediav2-INEX_XER-130";"Star Trek Captains";"CatQ";100
"esdbpediav2-INEX_XER-132";"living nordic classical composers";"CatQ";100
"esdbpediav2-INEX_XER-133";"EU countries";"CatQ";10
"esdbpediav2-INEX_XER-134";"record-breaking sprinters in male 100-meter sprints";"CatQ";10
"esdbpediav2-INEX_XER-135";"professional baseball team in Japan";"CatQ";10
"esdbpediav2-INEX_XER-136";"Japanese players in Major League Baseball";"CatQ";100
"esdbpediav2-INEX_XER-138";"National Parks East Coast Canada US";"CatQ";10
"esdbpediav2-INEX_XER-139";"Films directed by Akira Kurosawa";"CatQ";10
"esdbpediav2-INEX_XER-140";"Airports in Germany";"CatQ";10
"esdbpediav2-INEX_XER-141";"Universities in Catalunya";"CatQ";10
"esdbpediav2-INEX_XER-143";"Hanseatic league in Germany in the Netherlands Circle";"ConQ";3
"esdbpediav2-INEX_XER-144";"chess world champions";"CatQ";10
"esdbpediav2-INEX_XER-147";"Chemical elements that are named after people";"CatQ";10
"esdbpediav2-INEX_XER-60";"olympic classes dinghy sailing";"CatQ";3
"esdbpediav2-INEX_XER-62";"Neil Gaiman novels";"CatQ";10
"esdbpediav2-INEX_XER-63";"Hugo awarded best novels";"CatQ";10
"esdbpediav2-INEX_XER-64";"Alan Moore graphic novels adapted to film";"CatQ";3
"esdbpediav2-INEX_XER-65";"Pacific navigators Australia explorers";"CatQ";10
"esdbpediav2-INEX_XER-67";"Ferris and observation wheels";"CatQ";10
"esdbpediav2-INEX_XER-72";"films shot in Venice";"CatQ";100
"esdbpediav2-INEX_XER-73";"magazines about indie-music";"CatQ";10
"esdbpediav2-INEX_XER-74";"circus mammals";"CatQ";10
"esdbpediav2-INEX_XER-79";"Works by Charles Rennie Mackintosh";"CatQ";10
"esdbpediav2-INEX_XER-81";"Movies about English hooligans";"CatQ";10
"esdbpediav2-INEX_XER-86";"List of countries in World War Two";"CatQ";10
"esdbpediav2-INEX_XER-88";"Nordic authors who are known for children's literature";"CatQ";10
"esdbpediav2-INEX_XER-91";"Paul Auster novels";"CatQ";10
"esdbpediav2-INEX_XER-94";"Hybrid cars sold in Europe";"CatQ";10
"esdbpediav2-INEX_XER-95";"Tom Hanks movies where he plays a leading role.";"CatQ";10
"esdbpediav2-INEX_XER-96";"Pure object-oriented programing languages";"CatQ";10
"esdbpediav2-INEX_XER-97";"Compilers that can compile both C and C++";"CatQ";10
"esdbpediav2-INEX_XER-98";"Makers of lawn tennis rackets";"CatQ";10
"esdbpediav2-INEX_XER-99";"Computer systems that have a recursive acronym for the name";"CatQ";10
"esdbpediav2-QALD2_te-1";"Which German cities have more than 250000 inhabitants?";"CatQ, QQ";10
"esdbpediav2-QALD2_te-100";"Who produces Orangina?";"QQ";2
"esdbpediav2-QALD2_te-11";"Who is the Formula 1 race driver with the most races?";"QQ";3
"esdbpediav2-QALD2_te-12";"Give me all world heritage sites designated within the past five years.";"CatQ";100
"esdbpediav2-QALD2_te-13";"Who is the youngest player in the Premier League?";"QQ";10
"esdbpediav2-QALD2_te-14";"Give me all members of Prodigy.";"CatQ";3
"esdbpediav2-QALD2_te-15";"What is the longest river?";"QQ";3
"esdbpediav2-QALD2_te-17";"Give me all cars that are produced in Germany.";"CatQ";100
"esdbpediav2-QALD2_te-19";"Give me all people that were born in Vienna and died in Berlin.";"CatQ";100
"esdbpediav2-QALD2_te-2";"Who was the successor of John F. Kennedy?";"QQ";3
"esdbpediav2-QALD2_te-21";"What is the capital of Canada?";"QQ";3
"esdbpediav2-QALD2_te-22";"Who is the governor of Texas?";"QQ";3
"esdbpediav2-QALD2_te-24";"Who was the father of Queen Elizabeth II?";"QQ";3
"esdbpediav2-QALD2_te-25";"Which U.S. state has been admitted latest?";"QQ";3
"esdbpediav2-QALD2_te-27";"Sean Parnell is the governor of which U.S. state?";"QQ";3
"esdbpediav2-QALD2_te-28";"Give me all movies directed by Francis Ford Coppola.";"CatQ";10
"esdbpediav2-QALD2_te-29";"Give me all actors starring in movies directed by and starring William Shatner.";"CatQ";10
"esdbpediav2-QALD2_te-3";"Who is the mayor of Berlin?";"QQ";3
"esdbpediav2-QALD2_te-31";"Give me all current Methodist national leaders.";"CatQ";10
"esdbpediav2-QALD2_te-33";"Give me all Australian nonprofit organizations.";"CatQ";100
"esdbpediav2-QALD2_te-34";"In which military conflicts did Lawrence of Arabia participate?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-35";"Who developed Skype?";"QQ";3
"esdbpediav2-QALD2_te-39";"Give me all companies in Munich.";"CatQ, QQ";100
"esdbpediav2-QALD2_te-40";"List all boardgames by GMT.";"CatQ";10
"esdbpediav2-QALD2_te-41";"Who founded Intel?";"QQ";3
"esdbpediav2-QALD2_te-42";"Who is the husband of Amanda Palmer?";"QQ";3
"esdbpediav2-QALD2_te-43";"Give me all breeds of the German Shepherd dog.";"CatQ";10
"esdbpediav2-QALD2_te-44";"Which cities does the Weser flow through?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-45";"Which countries are connected by the Rhine?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-46";"Which professional surfers were born on the Philippines?";"CatQ, QQ";10
"esdbpediav2-QALD2_te-48";"In which UK city are the headquarters of the MI6?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-49";"Which other weapons did the designer of the Uzi develop?";"CatQ, QQ";10
"esdbpediav2-QALD2_te-5";"What is the second highest mountain on Earth?";"QQ";3
"esdbpediav2-QALD2_te-51";"Give me all Frisian islands that belong to the Netherlands.";"CatQ";10
"esdbpediav2-QALD2_te-53";"What is the ruling party in Lisbon?";"QQ";3
"esdbpediav2-QALD2_te-55";"Which Greek goddesses dwelt on Mount Olympus?";"QQ";3
"esdbpediav2-QALD2_te-57";"Give me the Apollo 14 astronauts.";"CatQ";10
"esdbpediav2-QALD2_te-58";"What is the time zone of Salt Lake City?";"QQ";3
"esdbpediav2-QALD2_te-59";"Which U.S. states are in the same timezone as Utah?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-6";"Give me all professional skateboarders from Sweden.";"CatQ";100
"esdbpediav2-QALD2_te-60";"Give me a list of all lakes in Denmark.";"CatQ";100
"esdbpediav2-QALD2_te-63";"Give me all Argentine films.";"CatQ";100
"esdbpediav2-QALD2_te-64";"Give me all launch pads operated by NASA.";"CatQ";10
"esdbpediav2-QALD2_te-65";"Which instruments did John Lennon play?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-66";"Which ships were called after Benjamin Franklin?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-67";"Who are the parents of the wife of Juan Carlos I?";"QQ";3
"esdbpediav2-QALD2_te-72";"In which U.S. state is Area 51 located?";"QQ";3
"esdbpediav2-QALD2_te-75";"Which daughters of British earls died in the same place they were born in?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-76";"List the children of Margaret Thatcher.";"CatQ";3
"esdbpediav2-QALD2_te-77";"Who was called Scarface?";"QQ";3
"esdbpediav2-QALD2_te-8";"To which countries does the Himalayan mountain system extend?";"CatQ, QQ";3
"esdbpediav2-QALD2_te-80";"Give me all books by William Goldman with more than 300 pages.";"CatQ, QQ";10
"esdbpediav2-QALD2_te-81";"Which books by Kerouac were published by Viking Press?";"CatQ, QQ";100
"esdbpediav2-QALD2_te-82";"Give me a list of all American inventions.";"CatQ";100
"esdbpediav2-QALD2_te-84";"Who created the comic Captain America?";"QQ";3
"esdbpediav2-QALD2_te-86";"What is the largest city in Australia?";"QQ";3
"esdbpediav2-QALD2_te-87";"Who composed the music for Harold and Maude?";"QQ";3
"esdbpediav2-QALD2_te-88";"Which films starring Clint Eastwood did he direct himself?";"QQ";10
"esdbpediav2-QALD2_te-89";"In which city was the former Dutch queen Juliana buried?";"QQ";3
"esdbpediav2-QALD2_te-9";"Give me a list of all trumpet players that were bandleaders.";"CatQ";100
"esdbpediav2-QALD2_te-90";"Where is the residence of the prime minister of Spain?";"QQ";3
"esdbpediav2-QALD2_te-91";"Which U.S. State has the abbreviation MN?";"QQ";3
"esdbpediav2-QALD2_te-92";"Show me all songs from Bruce Springsteen released between 1980 and 1990.";"CatQ";10
"esdbpediav2-QALD2_te-93";"Which movies did Sam Raimi direct after Army of Darkness?";"CatQ, QQ";10
"esdbpediav2-QALD2_te-95";"Who wrote the lyrics for the Polish national anthem?";"QQ";3
"esdbpediav2-QALD2_te-97";"Who painted The Storm on the Sea of Galilee?";"QQ";3
"esdbpediav2-QALD2_te-98";"Which country does the creator of Miffy come from?";"QQ";3
"esdbpediav2-QALD2_te-99";"For which label did Elvis record his first album?";"QQ";3
"esdbpediav2-QALD2_tr-1";"Give me all female Russian astronauts.";"CatQ";100
"esdbpediav2-QALD2_tr-10";"In which country does the Nile start?";"QQ";3
"esdbpediav2-QALD2_tr-11";"Which countries have places with more than two caves?";"QQ";100
"esdbpediav2-QALD2_tr-13";"Which classis does the Millepede belong to?";"QQ";3
"esdbpediav2-QALD2_tr-15";"Who created Goofy?";"QQ";3
"esdbpediav2-QALD2_tr-16";"Give me the capitals of all countries in Africa.";"CatQ";100
"esdbpediav2-QALD2_tr-17";"Give me all cities in New Jersey with more than 100000 inhabitants.";"CatQ";100
"esdbpediav2-QALD2_tr-18";"Which museum exhibits The Scream by Munch?";"QQ";3
"esdbpediav2-QALD2_tr-21";"Which states border Illinois?";"CatQ, QQ";3
"esdbpediav2-QALD2_tr-22";"In which country is the Limerick Lake?";"QQ";3
"esdbpediav2-QALD2_tr-23";"Which television shows were created by Walt Disney?";"CatQ, QQ";100
"esdbpediav2-QALD2_tr-24";"Which mountain is the highest after the Annapurna?";"QQ";3
"esdbpediav2-QALD2_tr-25";"In which films directed by Garry Marshall was Julia Roberts starring?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-26";"Which bridges are of the same type as the Manhattan Bridge?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-28";"Which European countries have a constitutional monarchy?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-29";"Which awards did WikiLeaks win?";"CatQ, QQ";3
"esdbpediav2-QALD2_tr-3";"Who is the daughter of Bill Clinton married to?";"QQ";3
"esdbpediav2-QALD2_tr-30";"Which state of the USA has the highest population density?";"QQ";3
"esdbpediav2-QALD2_tr-31";"What is the currency of the Czech Republic?";"QQ";3
"esdbpediav2-QALD2_tr-32";"Which countries in the European Union adopted the Euro?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-34";"Which countries have more than two official languages?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-35";"Who is the owner of Universal Studios?";"QQ";3
"esdbpediav2-QALD2_tr-36";"Through which countries does the Yenisei river flow?";"CatQ, QQ";3
"esdbpediav2-QALD2_tr-38";"Which monarchs of the United Kingdom were married to a German?";"CatQ, QQ";3
"esdbpediav2-QALD2_tr-4";"Which river does the Brooklyn Bridge cross?";"QQ";3
"esdbpediav2-QALD2_tr-40";"What is the highest mountain in Australia?";"QQ";3
"esdbpediav2-QALD2_tr-41";"Give me all soccer clubs in Spain.";"CatQ";100
"esdbpediav2-QALD2_tr-42";"What are the official languages of the Philippines?";"QQ";3
"esdbpediav2-QALD2_tr-43";"Who is the mayor of New York City?";"QQ";3
"esdbpediav2-QALD2_tr-44";"Who designed the Brooklyn Bridge?";"QQ";3
"esdbpediav2-QALD2_tr-45";"Which telecommunications organizations are located in Belgium?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-47";"What is the highest place of Karakoram?";"QQ";3
"esdbpediav2-QALD2_tr-49";"Give me all companies in the advertising industry.";"CatQ";100
"esdbpediav2-QALD2_tr-50";"What did Bruce Carver die from?";"QQ";3
"esdbpediav2-QALD2_tr-51";"Give me all school types.";"CatQ";10
"esdbpediav2-QALD2_tr-52";"Which presidents were born in 1945?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-53";"Give me all presidents of the United States.";"CatQ";10
"esdbpediav2-QALD2_tr-54";"Who was the wife of U.S. president Lincoln?";"QQ";3
"esdbpediav2-QALD2_tr-55";"Who developed the video game World of Warcraft?";"QQ";3
"esdbpediav2-QALD2_tr-57";"List all episodes of the first season of the HBO television series The Sopranos!";"CatQ";100
"esdbpediav2-QALD2_tr-58";"Who produced the most films?";"QQ";3
"esdbpediav2-QALD2_tr-59";"Give me all people with first name Jimmy.";"CatQ";100
"esdbpediav2-QALD2_tr-6";"Where did Abraham Lincoln die?";"QQ";3
"esdbpediav2-QALD2_tr-61";"Which mountains are higher than the Nanga Parbat?";"CatQ, QQ";3
"esdbpediav2-QALD2_tr-62";"Who created Wikipedia?";"QQ";3
"esdbpediav2-QALD2_tr-63";"Give me all actors starring in Batman Begins.";"CatQ";10
"esdbpediav2-QALD2_tr-64";"Which software has been developed by organizations founded in California?";"CatQ, QQ";10
"esdbpediav2-QALD2_tr-65";"Which companies work in the aerospace industry as well as on nuclear reactor technology?";"CatQ, QQ";10
