"ID";"TASK";"QUERY";"CAT";"DIFFICULTY";"MENTION#0";"URL#0";"RELEVANCE#0";"MENTION#1";"URL#1";"RELEVANCE#1";"MENTION#2";"URL#2";"RELEVANCE#2";"MENTION#3";"URL#3";"RELEVANCE#3";"MENTION#4";"URL#4";"RELEVANCE#4";"MENTION#5";"URL#5";"RELEVANCE#5";"MENTION#6";"URL#6";"RELEVANCE#6";"MENTION#7";"URL#7";"RELEVANCE#7";"MENTION#8";"URL#8";"RELEVANCE#8";"MENTION#9";"URL#9";"RELEVANCE#9";;;;;;;;;;;;;;;;;;;;;;;;;;;
"esdbpediav2-SemSearch_ES-93";"exer";"08 toyota tundra";"ConQ";1;"toyota tundra";"https://en.wikipedia.org/wiki/Toyota_Tundra";2;"toyota";"https://en.wikipedia.org/wiki/Toyota";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"esdbpediav2-SemSearch_ES-93";"imer";"08 toyota tundra";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-311-5";"exer";"145 pounds in kg";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-311-5";"imer";"145 pounds in kg";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-0";"exer";"2005 presidential election in egypt";"LQ";2;"2005 presidential election in egypt";"https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-0";"imer";"2005 presidential election in egypt";"LQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-1";"exer";"2005 presidential election in egypt forgery";"ConQ";2;"2005 presidential election in egypt";"https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-1";"imer";"2005 presidential election in egypt forgery";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-2";"exer";"2005 presidential election egypt poster cost";"ConQ";2;"2005 presidential election egypt";"https://en.wikipedia.org/wiki/Egyptian_presidential_election,_2005";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-57-2";"imer";"2005 presidential election egypt poster cost";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-58-1";"exer";"2005 world snooker championship";"LQ";1;"2005 world snooker championship";"https://en.wikipedia.org/wiki/2005_World_Snooker_Championship";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-58-1";"imer";"2005 world snooker championship";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-58-0";"exer";"2005 world snooker championships";"LQ";1;"2005 world snooker championships";"https://en.wikipedia.org/wiki/2005_World_Snooker_Championship";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2011-58-0";"imer";"2005 world snooker championships";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-0";"exer";"2013 accord";"ConQ, LQ";2;"accord";"https://en.wikipedia.org/wiki/Honda_Accord";2;"accord";"https://en.wikipedia.org/wiki/Accord_(company)";2;"accord";"https://en.wikipedia.org/wiki/Accord_(French_record_label)";2;"accord";"https://en.wikipedia.org/wiki/Accord_(Polish_record_label)";2;"accord";"https://en.wikipedia.org/wiki/Accord_(trade_union)";2;"accord";"https://en.wikipedia.org/wiki/Accord_Coalition";2;"accord";"https://en.wikipedia.org/wiki/Accord,_New_York";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-0";"imer";"2013 accord";"ConQ, LQ";2;"2013 accord";"https://en.wikipedia.org/wiki/Honda_Accord_(ninth_generation)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-5";"exer";"2013 accord sedan";"ConQ, LQ";2;"accord sedan";"https://en.wikipedia.org/wiki/Honda_Accord";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-5";"imer";"2013 accord sedan";"ConQ, LQ";2;"2013 accord sedan";"https://en.wikipedia.org/wiki/Honda_Accord_(ninth_generation)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-6";"exer";"2013 accord sedan photos";"ConQ";2;"accord sedan";"https://en.wikipedia.org/wiki/Honda_Accord";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-6";"imer";"2013 accord sedan photos";"ConQ";2;"2013 accord sedan";"https://en.wikipedia.org/wiki/Honda_Accord_(ninth_generation)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-1";"exer";"2013 altima recall";"ConQ";2;"altima";"https://en.wikipedia.org/wiki/Nissan_Altima";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-1";"imer";"2013 altima recall";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-2";"exer";"2013 altima sedan";"ConQ";2;"altima sedan";"https://en.wikipedia.org/wiki/Nissan_Altima";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-2";"imer";"2013 altima sedan";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-12";"exer";"2013 camry";"ConQ";2;"camry";"https://en.wikipedia.org/wiki/Toyota_Camry";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-12";"imer";"2013 camry";"ConQ";2;"2013 camry";"https://en.wikipedia.org/wiki/Toyota_Camry_(XV50)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-13";"exer";"2013 camry redesign";"ConQ";2;"camry";"https://en.wikipedia.org/wiki/Toyota_Camry";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-13";"imer";"2013 camry redesign";"ConQ";2;"2013 camry";"https://en.wikipedia.org/wiki/Toyota_Camry_(XV50)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-9";"exer";"2013 equinox";"ConQ, LQ";10;"equinox";"https://en.wikipedia.org/wiki/Chevrolet_Equinox";2;"equinox";"https://en.wikipedia.org/wiki/Equinox_(1986_video_game)";1;"equinox";"https://en.wikipedia.org/wiki/Equinox_(1993_video_game)";1;;"https://en.wikipedia.org/wiki/Equinox_(jazz_standard)";1;;"https://en.wikipedia.org/wiki/Equinox_(Styx_album)";;;"https://en.wikipedia.org/wiki/Equinox_(Omar_Rodr%C3%ADguez-L%C3%B3pez_album)";;;"https://en.wikipedia.org/wiki/Equinox_(Red_Garland_album)";;;"https://en.wikipedia.org/wiki/Equinox_(S%C3%A9rgio_Mendes_album)";;;"https://en.wikipedia.org/wiki/Equinox_(thrash_metal_band)";;;"https://en.wikipedia.org/wiki/Equinox_(electro-industrial_band)";;;"https://en.wikipedia.org/wiki/Equinox_(opera)";;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-9";"imer";"2013 equinox";"ConQ, LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-7";"exer";"2013 kia optima";"ConQ";2;"kia optima";"https://en.wikipedia.org/wiki/Kia_Optima";2;"kia";"https://en.wikipedia.org/wiki/Kia_Motors";2;"optima";"https://en.wikipedia.org/wiki/Optima";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-7";"imer";"2013 kia optima";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-10";"exer";"2013 lacrosse buick";"ConQ";2;"lacrosse buick";"https://en.wikipedia.org/wiki/Buick_LaCrosse";2;"buick";"https://en.wikipedia.org/wiki/Buick";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-10";"imer";"2013 lacrosse buick";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-16";"exer";"2013 malibu";"ConQ";2;"malibu";"https://en.wikipedia.org/wiki/Chevrolet_Malibu";2;"malibu";"https://en.wikipedia.org/wiki/Malibu,_California";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(Toronto)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu,_British_Columbia";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(Hole_song)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(film)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-16";"imer";"2013 malibu";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-17";"exer";"2013 malibu pictures";"ConQ";2;"malibu";"https://en.wikipedia.org/wiki/Chevrolet_Malibu";2;"malibu";"https://en.wikipedia.org/wiki/Malibu,_California";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(Toronto)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu,_British_Columbia";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(film)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-17";"imer";"2013 malibu pictures";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-18";"exer";"2013 malibu price";"ConQ";2;"malibu";"https://en.wikipedia.org/wiki/Chevrolet_Malibu";2;"malibu";"https://en.wikipedia.org/wiki/Malibu_(Hole_song)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu_(film)";1;"malibu";"https://en.wikipedia.org/wiki/Malibu,_CA_(TV_series)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-18";"imer";"2013 malibu price";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-14";"exer";"2013 mazda cx5";"ConQ";2;"mazda cx5";"https://en.wikipedia.org/wiki/Mazda_CX-5";2;"mazda";"https://en.wikipedia.org/wiki/Mazda";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-14";"imer";"2013 mazda cx5";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-15";"exer";"2013 mustang";"ConQ, LQ";10;"mustang";"https://en.wikipedia.org/wiki/Ford_Mustang";2;"mustang";"https://en.wikipedia.org/wiki/Shelby_Mustang";2;"mustang";"https://en.wikipedia.org/wiki/Mustang_(motorcycle)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-15";"imer";"2013 mustang";"ConQ, LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-8";"exer";"2013 rav4";"ConQ";2;"rav4";"https://en.wikipedia.org/wiki/Toyota_RAV4";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-8";"imer";"2013 rav4";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-11";"exer";"2013 taurus";"LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-138-11";"imer";"2013 taurus";"LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-493-9";"exer";"2014 nfl mock draft";"ConQ";2;"2014 nfl";"https://en.wikipedia.org/wiki/2014_NFL_season";2;"nfl";"https://en.wikipedia.org/wiki/National_Football_League";2;"nfl";"https://en.wikipedia.org/wiki/National_Football_League_(Ireland)";1;"nfl";"https://en.wikipedia.org/wiki/National_Football_League_(South_Africa)";1;"nfl";"https://en.wikipedia.org/wiki/Singapore_National_Football_League";1;"nfl";"https://en.wikipedia.org/wiki/National_Football_League_(India)";1;"nfl mock draft";"https://en.wikipedia.org/wiki/National_Football_League_Draft";2;"2014 nfl mock draft";"https://en.wikipedia.org/wiki/2014_NFL_Draft";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-493-9";"imer";"2014 nfl mock draft";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-72-2";"exer";"3riversfcu credit union";"LQ";1;"3riversfcu credit union";"https://www.3riversfcu.org/";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-72-2";"imer";"3riversfcu credit union";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2012-2-0";"exer";"403(b) retirement plan";"LQ";1;"403(b) retirement plan";"https://en.wikipedia.org/wiki/403(b)";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-trec-2012-2-0";"imer";"403(b) retirement plan";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-438-0";"exer";"42 years in a coma";"ConQ";2;"in a coma";"https://en.wikipedia.org/wiki/In_a_Coma";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-438-0";"imer";"42 years in a coma";"ConQ";2;"42 years in a coma";"https://en.wikipedia.org/wiki/Aruna_Shanbaug_case";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"esdbpediav2-SemSearch_ES-1";"exer";"44 magnum hunting";"ConQ";1;"44 magnum";"https://en.wikipedia.org/wiki/.44_Magnum";2;"44 magnum";"https://en.wikipedia.org/wiki/44_Magnum_(band)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"esdbpediav2-SemSearch_ES-1";"imer";"44 magnum hunting";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-502-2";"exer";"54 main madison nj";"LQ";1;"54 main madison nj";"https://www.yelp.com/biz/54-main-bar-and-grille-madison";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-502-2";"imer";"54 main madison nj";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-190-0";"exer";"6am band";"ConQ, LQ";2;"6am band";"https://en.wikipedia.org/wiki/Sixx:A.M.";2;"6am";"https://en.wikipedia.org/wiki/6_AM";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-190-0";"imer";"6am band";"ConQ, LQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-201-1";"exer";"707 gun shop myrtle beach sc";"LQ";1;"707 gun shop myrtle beach sc";"https://www.yelp.de/biz/707-gun-shop-myrtle-beach";2;"myrtle beach sc";"https://en.wikipedia.org/wiki/Myrtle_Beach,_South_Carolina";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-201-1";"imer";"707 gun shop myrtle beach sc";"LQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-509-0";"exer";"775 area code";"ConQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-509-0";"imer";"775 area code";"ConQ";2;"775 area code";"https://en.wikipedia.org/wiki/Nevada";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-294-1";"exer";"aa";"LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-294-1";"imer";"aa";"LQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-45-1";"exer";"aarp travel discounts";"ConQ";1;"aarp travel";"https://travel.aarp.org/";2;"aarp";"https://en.wikipedia.org/wiki/AARP";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-45-1";"imer";"aarp travel discounts";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-494-3";"exer";"abc.com";"RLQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-494-3";"imer";"abc.com";"RLQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-501-6";"exer";"actress in girl with the dragon tattoo";"CatQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-501-6";"imer";"actress in girl with the dragon tattoo";"CatQ";10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-140-2";"exer";"adam levine slams";"ConQ";1;"adam levine";"https://en.wikipedia.org/wiki/Adam_Levine";2;"adam levine";"https://en.wikipedia.org/wiki/Adam_Levine_(press_aide)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-140-2";"imer";"adam levine slams";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-494-7";"exer";"address numerology";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-494-7";"imer";"address numerology";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-322-1";"exer";"adele baby";"ConQ, RQ";2;"adele";"https://en.wikipedia.org/wiki/Adele";2;"adele";"https://en.wikipedia.org/wiki/Jan_Adele";1;"adele";"https://en.wikipedia.org/wiki/Adele_(musical)";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-322-1";"imer";"adele baby";"ConQ, RQ";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"erd14-TREC-1";"exer";"adobe indian houses";"ConQ";1;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";1;"indian";"https://en.wikipedia.org/wiki/India";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"erd14-TREC-1";"imer";"adobe indian houses";"ConQ";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-4";"exer";"adobe pdf converter";"ConQ";2;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";2;"pdf";"https://en.wikipedia.org/wiki/Portable_Document_Format";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-4";"imer";"adobe pdf converter";"ConQ";2;"converter";"https://en.wikipedia.org/wiki/Adobe_Acrobat";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-6";"exer";"adobe pdf converter downloads";"ConQ";1;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";2;"pdf";"https://en.wikipedia.org/wiki/Portable_Document_Format";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-6";"imer";"adobe pdf converter downloads";"ConQ";1;"converter";"https://en.wikipedia.org/wiki/Adobe_Acrobat";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-10";"exer";"adobe pdf converter driver";"ConQ";1;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";2;"pdf";"https://en.wikipedia.org/wiki/Portable_Document_Format";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-10";"imer";"adobe pdf converter driver";"ConQ";1;"converter";"https://en.wikipedia.org/wiki/Adobe_Acrobat";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-9";"exer";"adobe pdf converter free download";"ConQ";1;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";2;"pdf";"https://en.wikipedia.org/wiki/Portable_Document_Format";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-9";"imer";"adobe pdf converter free download";"ConQ";1;"converter";"https://en.wikipedia.org/wiki/Adobe_Acrobat";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-5";"exer";"adobe pdf converter printer";"ConQ";1;"adobe";"https://en.wikipedia.org/wiki/Adobe_Systems";2;"pdf";"https://en.wikipedia.org/wiki/Portable_Document_Format";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ysqle-yahoo-78-5";"imer";"adobe pdf converter printer";"ConQ";1;"converter";"https://en.wikipedia.org/wiki/Adobe_Acrobat";2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
