ID;QUERY;CAT;DIFFICULTY
ysqle-yahoo-131-0;aol.com;LQ;1
ysqle-yahoo-131-1;aol.com mail;ConQ;1
ysqle-yahoo-93-16;ap poll top 25;ConQ;1
ysqle-yahoo-211-0;apple id;ConQ;2
ysqle-yahoo-257-1;apple throws tantrum;ConQ;2
ysqle-yahoo-367-0;apples insane sell-off;ConQ;1
ysqle-yahoo-266-2;aqueduct race track;LQ;1
ysqle-trec-2013-57-11;are developmental milestones universal;ConQ;1
ysqle-trec-2012-64-3;are sunspots local burnouts;QQ;1
ysqle-yahoo-482-0;area code 309 illinois;ConQ;1
ysqle-trec-2010-148-0;arizona game and fish department;LQ;1
ysqle-trec-2010-148-1;arizona regulations hunting fishing;ConQ;2
ysqle-yahoo-305-0;arsenal;LQ;2
esdbpediav2-SemSearch_ES-10;asheville north carolina;LQ;1
esdbpediav2-SemSearch_ES-101;ashley wagner;LQ;1
ysqle-trec-2013-57-9;asian babies development;ConQ;1
ysqle-trec-2013-57-18;asian children milestones;ConQ;1
ysqle-trec-2013-57-12;asian developmental milestones;ConQ;1
ysqle-trec-2013-57-6;asian infants;ConQ;1
ysqle-trec-2013-57-8;asian infants development;ConQ;1
ysqle-trec-2013-57-7;asian infants milestones;ConQ;1
ysqle-yahoo-77-0;asthma;ConQ;1
ysqle-trec-2010-146-0;atari;LQ;1
ysqle-trec-2010-146-1;atari arcade;LQ;1
ysqle-yahoo-492-4;atlanta zoo;LQ;2
ysqle-yahoo-6-9;atlantic coast conference;LQ;1
ysqle-trec-2010-79-1;atlas;LQ;2
ysqle-yahoo-494-8;atrophy;ConQ, LQ;2
ysqle-yahoo-229-3;att.com;LQ;1
ysqle-trec-2012-60-1;attic insulation airconditioning costs;ConQ;1
ysqle-yahoo-370-2;attorney at law;ConQ;1
erd14-TREC-2;atypical squamous cells;ConQ;2
esdbpediav2-SemSearch_ES-11;austin powers;LQ;1
esdbpediav2-SemSearch_ES-12;austin texas;LQ;1
ysqle-trec-2011-64-0;australia wine export data;ConQ;1
ysqle-trec-2011-64-1;australia wine export to united states;ConQ;2
ysqle-trec-2011-66-2;australia wine export to us;ConQ;2
ysqle-trec-2011-66-0;australian wine award 2011;ConQ;2
ysqle-trec-2011-65-0;australian wine yellowtail;ConQ;2
ysqle-trec-2012-90-3;autoimmune disease;ConQ;1
ysqle-trec-2012-90-2;autoimmune disease sport;ConQ;1
ysqle-yahoo-311-1;autotrader;LQ;1
ysqle-yahoo-465-0;autozone;LQ;1
ysqle-trec-2010-28-0;autozone.com;LQ;1
ysqle-trec-2010-14-0;avp;LQ;2
ysqle-trec-2010-14-1;avp antivirus;LQ;2
esdbpediav2-SemSearch_ES-2;b. f. skinner;LQ;1
ysqle-trec-2013-73-0;babies development cultural differences;ConQ;1
ysqle-yahoo-507-8;baby cow;ConQ;1
ysqle-yahoo-493-20;back workouts;ConQ;1
ysqle-yahoo-467-0;backdoor;ConQ;1
ysqle-trec-2010-7-0;baggage restrictions;ConQ;1
ysqle-yahoo-463-1;baker and bonningson auctions;LQ;1
ysqle-trec-2010-33-0;balance starbucks gift card;ConQ;2
ysqle-trec-2013-65-3;ban guns;ConQ;1
esdbpediav2-SemSearch_ES-13;banana paper making;ConQ;2
ysqle-yahoo-254-1;banco santander brasil;LQ;1
ysqle-yahoo-93-1;bangladesh;LQ;1
ysqle-trec-2010-25-1;bart map;ConQ;1
ysqle-trec-2010-25-0;bart schedules and fares;ConQ;2
ysqle-trec-2011-30-2;basil charles;LQ;2
ysqle-trec-2011-29-2;basil family;RQ;2
ysqle-yahoo-468-4;bass pro;LQ;1
ysqle-yahoo-463-3;bass pro shop;LQ;1
ysqle-yahoo-215-0;bass pro shops;LQ;1
ysqle-yahoo-510-17;bath and body works;LQ;1
ysqle-yahoo-29-1;bbt online banking;ConQ;1
ysqle-yahoo-293-0;bbva compass;LQ;1
ysqle-yahoo-400-0;bdubs menu;ConQ;2
esdbpediav2-SemSearch_ES-102;beach flowers;CatQ;2
ysqle-yahoo-238-0;beauty queen killed;ConQ;2
erd14-TREC-4;becoming a paralegal;ConQ;1
ysqle-trec-2010-81-0;becoming dj;ConQ;1
ysqle-yahoo-458-3;bed bath and beyond;LQ;1
ysqle-yahoo-271-0;belbin team roles;ConQ;1
ysqle-yahoo-514-3;beluga whale;ConQ;1
esdbpediav2-SemSearch_ES-14;ben franklin;LQ;2
ysqle-yahoo-495-4;benefits of earl grey tea;ConQ;1
ysqle-yahoo-140-7;bentleyschool.net;LQ;1
ysqle-trec-2011-17-0;berkley insurance;LQ;2
ysqle-trec-2011-17-1;berkley insurance about us;ConQ;2
ysqle-yahoo-393-2;best buy;LQ;1
ysqle-yahoo-436-3;best buy black friday;ConQ;1
erd14-TREC-5;best long term care insurance;ConQ;1
esdbpediav2-INEX_LD-20120432;bicycle benefits environment;ConQ;1
esdbpediav2-INEX_LD-20120431;bicycle benefits health;ConQ;1
esdbpediav2-INEX_LD-20120422;bicycle holiday nature;ConQ;1
esdbpediav2-INEX_LD-20120412;bicycle sport disciplines;CatQ;2
ysqle-yahoo-198-0;bieber wont be charged;ConQ;2
ysqle-yahoo-6-10;big east;LQ;2
ysqle-yahoo-510-12;big kahuna beach chair;CatQ;2
ysqle-yahoo-510-10;big lots;LQ;1
ysqle-yahoo-456-5;billings gazette online;LQ;1
ysqle-yahoo-279-0;billy scott dies;ConQ;1
ysqle-yahoo-474-2;bing;LQ;1
ysqle-trec-2013-87-4;bing maps;ConQ;1
ysqle-trec-2010-65-1;biography burnett;ConQ;2
ysqle-yahoo-435-5;bjork surgery;ConQ;1
ysqle-yahoo-112-0;bjs;LQ;1
ysqle-yahoo-205-1;black friday 2012;LQ;1
ysqle-trec-2013-94-0;black history month;LQ;2
ysqle-trec-2011-36-0;black powder ammunition;ConQ;2
ysqle-trec-2011-37-0;black powder ammunition wiki;ConQ;2
ysqle-trec-2011-36-2;black powder inventor;ConQ;2
ysqle-yahoo-509-6;blaze you out trailer;ConQ;2
ysqle-yahoo-382-0;blic;LQ;1
ysqle-yahoo-507-14;blue line schedule;ConQ;1
erd14-TREC-6;blue throated hummingbird;LQ;1
ysqle-yahoo-254-2;bmw x5;LQ;1
ysqle-yahoo-379-6;bob berg;LQ;1
ysqle-yahoo-140-0;bob dole hospitalized;ConQ;1
ysqle-yahoo-407-0;bobby hebert booted;ConQ;1
ysqle-yahoo-254-4;bodog;LQ;1
ysqle-yahoo-495-0;body wrap weight loss;ConQ;1
ysqle-yahoo-516-14;boh.com;LQ;1
ysqle-trec-2012-29-0;bollywood;LQ;1
ysqle-trec-2012-29-2;bollywood beverly hills;ConQ;2
ysqle-trec-2012-30-0;bollywood facts;ConQ;1
ysqle-trec-2012-31-0;bollywood growth government policy;ConQ;2
ysqle-trec-2012-32-1;bollywood law;ConQ;2
ysqle-trec-2012-32-0;bollywood legislation;ConQ;2
ysqle-trec-2012-33-0;bollywood legislation growth;ConQ;2
ysqle-trec-2012-33-1;bollywood legislation growth government;ConQ;2
ysqle-trec-2012-31-2;bollywood promote growth;ConQ;2
ysqle-yahoo-315-0;bon jovis daughter arrested;ConQ;2
esdbpediav2-SemSearch_LS-5;books of the jewish canon;ConQ;2
esdbpediav2-SemSearch_ES-3;bookwork;ConQ;1
ysqle-trec-2013-25-1;boston pops;LQ;1
ysqle-trec-2013-25-0;boston pops and (salary or manager or conductor or hall);ConQ;1
ysqle-trec-2013-108-0;boston pops official website;ConQ;2
ysqle-trec-2013-87-9;boston tourism;ConQ;1
esdbpediav2-SemSearch_ES-104;bourbonnais il;LQ;1
erd14-TREC-7;bowflex power pro;LQ;2
esdbpediav2-SemSearch_ES-15;bradley center;LQ;1
ysqle-yahoo-455-1;bradley cooper;LQ;1
ysqle-yahoo-468-0;branson airport;LQ;1
ysqle-yahoo-489-0;breakdown;ConQ, LQ;2
ysqle-yahoo-74-1;breitbart;LQ;1
ysqle-yahoo-251-5;brenda song;LQ;1
ysqle-yahoo-312-0;brett michaels;LQ;2
ysqle-yahoo-106-0;brian stann;LQ;1
ysqle-yahoo-307-2;brick house plans;ConQ;1
ysqle-yahoo-236-0;bridal shower favors;ConQ;1
ysqle-yahoo-236-4;bridal shower party favors;ConQ;1
ysqle-yahoo-507-21;broken heart quotes;ConQ;1
ysqle-yahoo-352-3;bronco bama girl;LQ;2
ysqle-yahoo-425-2;brooke burke thyroid cancer;ConQ;1
esdbpediav2-SemSearch_ES-16;brooklyn bridge;LQ;1
erd14-TREC-8;brooks brothers clearance;ConQ;2
ysqle-yahoo-490-5;bruno mars treasure;LQ;1
ysqle-trec-2012-63-1;buddhist wedding rituals;ConQ;1
ysqle-yahoo-240-3;buffalo wild wing;LQ;2
ysqle-trec-2010-139-1;build raised garden bed;ConQ;1
ysqle-trec-2010-127-1;building raised garden bed;ConQ;1
ysqle-yahoo-510-6;burger king;LQ;1
ysqle-yahoo-210-0;burlington wisconsin;LQ;1
ysqle-yahoo-78-1;bus;ConQ, LQ;2
ysqle-trec-2013-82-1;business phd;ConQ;1
ysqle-trec-2013-83-4;business phd duration;ConQ;1
ysqle-trec-2013-83-2;business phd funding;ConQ;1
ysqle-trec-2013-83-5;business phd income;ConQ;1
ysqle-trec-2013-83-3;business phd vs masters;ConQ;1
esdbpediav2-SemSearch_ES-17;butte montana;LQ;1
erd14-TREC-9;butter and margarine;ConQ;1
ysqle-trec-2012-76-0;buy dehumidifier, reviews;ConQ;1
ysqle-trec-2012-76-1;buy dehumidifier, reviews, uk;ConQ;2
ysqle-yahoo-519-7;buy lunesta;ConQ;1
ysqle-trec-2010-49-0;buy used car parts online;ConQ;1
ysqle-trec-2010-99-0;buy volvo semi trucks;ConQ;2
ysqle-yahoo-468-5;cabelas;LQ;1
ysqle-yahoo-499-6;caddo lake texas;LQ;1
ysqle-yahoo-405-0;cal dmv;LQ;1
ysqle-yahoo-91-2;cal lottery;LQ;1
ysqle-yahoo-266-5;cal racing;LQ;1
ysqle-yahoo-235-2;calcium in water;ConQ;1
erd14-TREC-10;california franchise tax board;LQ;1
ysqle-yahoo-235-3;calories in egg whites;ConQ;1
ysqle-yahoo-354-2;camacho funeral brawl;ConQ;2
ysqle-yahoo-128-3;cambridge;LQ;2
ysqle-yahoo-128-4;cambridge engineering;LQ;2
ysqle-yahoo-128-5;cambridge english test;LQ;2
esdbpediav2-SemSearch_ES-18;canasta cards;ConQ;2
ysqle-yahoo-390-1;candidate killed in storm;ConQ;2
ysqle-yahoo-104-0;candy tree centerpiece;ConQ;1
ysqle-yahoo-20-5;canvas drop curtains;ConQ;1
ysqle-yahoo-73-3;capital one;LQ;1
ysqle-yahoo-523-23;capitalone.com;LQ;1
ysqle-yahoo-201-4;captain georges myrtle beach;LQ;1
esdbpediav2-SemSearch_ES-19;carl lewis;LQ;1
ysqle-yahoo-505-0;carmike cinemas;LQ;1
ysqle-trec-2011-49-1;carnival uk;ConQ;1
ysqle-yahoo-248-0;carol burnett;LQ;1
ysqle-yahoo-281-0;carol burnett sued;ConQ;2
esdbpediav2-SemSearch_ES-20;carolina;LQ;2
ysqle-yahoo-493-16;carolina panthers schedule;ConQ;1
ysqle-trec-2010-7-1;carry-on liquid restrictions;ConQ;1
ysqle-yahoo-84-0;cartoon;ConQ;1
ysqle-yahoo-189-0;casa de campo;LQ;2
ysqle-yahoo-493-8;cascada;LQ;2
erd14-TREC-11;cass county missouri;LQ;1
ysqle-trec-2012-50-3;causes of false pregnancy;ConQ;1
ysqle-yahoo-426-4;cavenders boot town;LQ;1
ysqle-yahoo-135-0;cebu pacific airlines;LQ;1
ysqle-yahoo-135-1;cebu pacific airlines promo fare;ConQ;1
ysqle-yahoo-494-4;celebrity hairstyles;ConQ;1
ysqle-trec-2013-76-1;cell phone plan;ConQ;1
ysqle-trec-2013-76-2;cell phone plan :.uk;ConQ;1
ysqle-yahoo-371-1;centruy21realastate;LQ;2
ysqle-yahoo-496-3;century 9 san francisco;LQ;2
ysqle-yahoo-496-1;century theaters;ConQ;1
ysqle-trec-2010-9-1;chain link fence;ConQ;1
ysqle-trec-2010-13-0;chain link wood fence material;ConQ;1
ysqle-yahoo-486-0;chamber of commerce charleston sc;LQ;1
ysqle-trec-2011-56-3;chanel clothes award ceremonies women;ConQ;2
ysqle-trec-2011-56-0;chanel company;ConQ;1
ysqle-trec-2011-56-1;chanel museum exhibition clothing;ConQ;2
ysqle-trec-2011-56-2;chanel president;ConQ;2
ysqle-yahoo-493-1;channing tatum;LQ;1
ysqle-yahoo-493-2;channing tatum height;ConQ;1
ysqle-trec-2011-29-0;charles basil;LQ;2
ysqle-trec-2011-30-1;charles basil acomplishments;ConQ;2
ysqle-trec-2011-30-0;charles basil biography;ConQ;2
esdbpediav2-SemSearch_ES-21;charles darwin;LQ;1
ysqle-yahoo-411-0;charlie sheen lohan;ConQ;1
ysqle-yahoo-324-0;charter email;ConQ, LQ;2
ysqle-yahoo-458-7;chase bank;LQ;1
esdbpediav2-SemSearch_ES-106;chase masterson;LQ;1
ysqle-trec-2012-6-8;chateau resort getting to;ConQ;1
ysqle-yahoo-126-8;check my yahoo mail;ConQ;1
ysqle-trec-2013-86-1;chicago;LQ;1
ysqle-trec-2013-72-12;child development cultural differences;ConQ;1
ysqle-yahoo-112-1;childfun;LQ;2
ysqle-trec-2013-57-13;chinese infant developmental milestones;ConQ;1
ysqle-trec-2013-57-14;chinese infant milestones;ConQ;1
ysqle-yahoo-495-10;chocolate chip cookie recipe;ConQ;1
ysqle-yahoo-270-1;cholesterol levels;ConQ;1
ysqle-yahoo-523-10;christine o donnell;LQ;1
ysqle-trec-2013-30-0;churchill downs;LQ;2
ysqle-trec-2013-30-1;churchill downs 2013;ConQ;2
ysqle-trec-2013-31-1;churchill downs horse racing park;ConQ;1
ysqle-trec-2013-31-3;churchill downs horse racing schedule;ConQ;1
ysqle-trec-2013-32-3;churchill downs kentucky derby museum;ConQ;2
ysqle-trec-2013-32-1;churchill downs race schedule 2013;ConQ;1
ysqle-trec-2013-31-0;churchill downs racing information;ConQ;2
ysqle-trec-2013-31-8;churchill downs racing seating chart;ConQ;1
ysqle-trec-2013-32-0;churchill downs schedule;ConQ;1
ysqle-trec-2013-32-2;churchill downs seating;ConQ;1
ysqle-trec-2013-31-6;churchilldowns;LQ;1
ysqle-trec-2013-31-7;churchilldowns seating chart;ConQ;1
ysqle-trec-2013-31-5;churchilldowns.com;LQ;1
ysqle-yahoo-93-3;circuit city;LQ;1
ysqle-yahoo-93-5;citi;LQ;2
ysqle-yahoo-93-4;citibank;LQ;1
ysqle-yahoo-93-6;citicards;ConQ;1
ysqle-yahoo-93-11;citicards click to pay;ConQ;1
ysqle-yahoo-93-10;citicards credit cards;ConQ;1
ysqle-yahoo-93-12;citicards online bill pay;ConQ;1
ysqle-yahoo-93-13;citicards online login;ConQ;1
ysqle-yahoo-93-8;citicards sign on;ConQ;1
ysqle-yahoo-93-9;citicards sign on page;ConQ;1
ysqle-yahoo-93-14;citicards thank you points;ConQ;1
ysqle-yahoo-93-15;citicards thank you rewards;ConQ;1
ysqle-yahoo-93-7;citizens bank;LQ;1
esdbpediav2-SemSearch_ES-22;city of charlotte;LQ;2
ysqle-yahoo-127-0;city of grandville, mi;LQ;1
ysqle-yahoo-251-6;city of los angeles;LQ;2
ysqle-yahoo-251-8;city of los angeles visitors bureau;ConQ;2
esdbpediav2-SemSearch_ES-23;city of virginia beach;LQ;2
ysqle-yahoo-500-0;clarity nails salem nh;LQ;1
ysqle-yahoo-340-2;clayton state university;LQ;1
ysqle-yahoo-502-0;clearview cinema morristown;LQ;1
ysqle-yahoo-379-2;climax mine;LQ;1
ysqle-yahoo-379-3;climax mine leadville;LQ;1
ysqle-yahoo-398-2;clinton falls asleep;ConQ;2
ysqle-yahoo-409-1;cloves spice;ConQ;1
ysqle-yahoo-507-2;club pictures;ConQ;1
ysqle-yahoo-202-0;cnnsi;LQ;2
ysqle-yahoo-326-0;cntf;ConQ;1
ysqle-trec-2012-25-6;coach france football team world cup 1998;ConQ;2
ysqle-yahoo-389-0;coaching speech;ConQ, LQ;1
esdbpediav2-SemSearch_ES-24;coastal carolina;LQ;2
ysqle-yahoo-508-0;cocker spaniel;ConQ;1
ysqle-trec-2013-8-3;coins in us wiki;CatQ;1
ysqle-yahoo-371-0;coldwell banker;LQ;1
ysqle-trec-2012-91-0;collagen vascular disease;LQ;1
ysqle-trec-2012-91-2;collagen vascular disease active lifestyle;ConQ;1
ysqle-trec-2011-25-2;collagen vascular disease causes symptoms treatments;ConQ;1
ysqle-trec-2011-25-0;collagen vascular disease causes symptoms treatments effects;ConQ;1
ysqle-trec-2012-91-3;collagen vascular disease sport;ConQ;1
ysqle-trec-2013-9-1;collecting old us coins;ConQ;2
ysqle-yahoo-493-12;collegeboard;LQ;1
ysqle-yahoo-507-1;comadre;LQ;1
ysqle-trec-2010-21-0;comcast;LQ;2
ysqle-yahoo-179-0;comcast xfinity;LQ;1
ysqle-trec-2010-30-1;compare mitchell college;ConQ;1
ysqle-trec-2012-42-5;comparison of water turbine types;CatQ;2
ysqle-yahoo-113-6;complete idiot;ConQ;1
ysqle-yahoo-113-5;complete idiots guide;ConQ;1
ysqle-trec-2011-48-3;complete list of songs of irving berlin;CatQ;2
ysqle-yahoo-523-22;concord nc zip code;ConQ;1
esdbpediav2-SemSearch_ES-107;concord steel;LQ;1
erd14-TREC-13;condos in florida;ConQ;2
ysqle-trec-2013-26-3;conductor 2012 of the boston pops orchestra;ConQ;2
ysqle-trec-2013-26-2;conductor of the boston pops orchestra;ConQ;2
ysqle-yahoo-514-2;confederations cup 2013;LQ;1
ysqle-trec-2012-92-2;connecticut fire academy;LQ;1
ysqle-trec-2012-92-1;connecticut fire academy established;ConQ;2
ysqle-trec-2012-94-2;connecticut fire academy fireman;ConQ;2
ysqle-trec-2012-97-2;connecticut fire academy skills;ConQ;1
ysqle-trec-2012-97-0;connecticut fire academy training;ConQ;1
ysqle-trec-2012-94-1;connecticut fire academy wiki;ConQ;2
ysqle-trec-2012-93-1;connecticut fire department;ConQ;2
ysqle-yahoo-494-2;connie britton;LQ;1
ysqle-yahoo-523-4;connie chung;LQ;1
ysqle-trec-2013-22-1;connie culp;LQ;1
ysqle-trec-2013-22-2;connie culp wikipedia;LQ;1
ysqle-trec-2012-45-0;consequences of hydroelectric dam;ConQ;1
ysqle-yahoo-169-0;contact the white house;ConQ;1
ysqle-trec-2010-60-1;container store;LQ;2
ysqle-trec-2010-89-1;continental drift;ConQ;1
ysqle-trec-2010-45-0;continental drifting;ConQ;2
ysqle-trec-2010-89-0;continental plates;CatQ;2
ysqle-yahoo-165-0;converse;LQ;1
ysqle-trec-2012-59-1;cool roof;ConQ;1
ysqle-yahoo-455-2;copa airlines;LQ;1
ysqle-trec-2011-7-0;cosmetic laser treatment;ConQ;1
ysqle-trec-2011-8-2;cosmetic laser treatment* and effective*;ConQ;1
ysqle-trec-2011-8-1;cosmetic laser treatment* and efficac*;ConQ;1
ysqle-trec-2011-8-0;cosmetic laser treatment* and safe*;ConQ;1
ysqle-yahoo-278-0;cosmopolitan;LQ;2
ysqle-yahoo-311-3;costco;LQ;1
ysqle-yahoo-20-2;country curtains;LQ;1
ysqle-trec-2010-80-0;courses on designing web sites;ConQ;1
ysqle-yahoo-70-1;cowboys fans petition obama;ConQ;2
ysqle-yahoo-413-1;craigslist;LQ;1
ysqle-yahoo-43-0;craigslist dfw classifieds;ConQ;1
ysqle-yahoo-59-0;craigslist n ms;ConQ;2
ysqle-yahoo-409-3;cranberry sauce;ConQ;1
ysqle-yahoo-494-9;crate and barrel;LQ;1
ysqle-trec-2011-10-0;crisis intervention;ConQ;2
ysqle-trec-2011-10-1;crisis intervention prlsofessiona;ConQ;2
ysqle-trec-2011-10-2;crisis intervention professional services;ConQ;2
ysqle-trec-2011-10-3;crisis intervention services;ConQ;2
ysqle-trec-2011-73-1;crossword puzzle wiki;ConQ;2
ysqle-yahoo-389-1;cs monitor;LQ;1
ysqle-yahoo-277-0;cuban offers trump $1 million;ConQ;1
erd14-TREC-14;culpeper national cemetery;LQ;1
ysqle-trec-2010-110-1;cultural diversity;ConQ;2
ysqle-trec-2010-110-0;cultural diversity prejudice;ConQ;1
ysqle-trec-2013-72-8;culture or race infant or child development stages or milestones;ConQ;1
ysqle-trec-2011-49-0;cunard cruise lines;LQ;2
ysqle-trec-2011-49-2;cunard cruise lines director;ConQ;2
ysqle-trec-2011-49-3;cunard cruise lines managing director;ConQ;2
ysqle-yahoo-22-1;currency converter;ConQ;1
ysqle-trec-2011-42-1;curveball wiki;ConQ;2
ysqle-trec-2010-141-0;cuttle fish bone;ConQ;1
ysqle-trec-2010-141-1;cuttlebone casting;ConQ;2
ysqle-trec-2011-25-1;cvd causes symptoms treatments;ConQ;1
ysqle-yahoo-90-1;cvs;LQ;1
ysqle-yahoo-67-1;cyndi lauper all through the night;LQ;1
ysqle-yahoo-67-0;cyndi lauper lyrics;ConQ;1
ysqle-trec-2013-60-6;cyprus leader crisis action;ConQ;2
esdbpediav2-INEX_LD-2009063;d-day normandy invasion;ConQ;1
ysqle-yahoo-394-0;dam west campground carlyle illinois;LQ;1
ysqle-yahoo-523-3;dan rather;LQ;1
ysqle-yahoo-1-2;dancing with the stars;LQ;1
erd14-TREC-15;dangers of asbestos;CatQ;2
ysqle-yahoo-184-0;danica patrick divorce;ConQ;1
esdbpediav2-SemSearch_ES-108;danielia cotton;LQ;1
